address,tx,ty,tz
0x2290d0361ec,-5.24961,11.0037,44.5093
0x2290d0361f0,11.0037,44.5093,8.03671
0x2290d0361f4,44.5093,8.03671,1.4013e-45
0x2290d0369fc,7.33188,1.4013e-45,0
0x2290d036a50,1.06991,1.06991,-1
0x2290d036a8c,1.06991,1.06991,1.06991
0x2290d036a90,1.06991,1.06991,-1
0x2290d036b84,0,0,1.06991
0x2290d036b8c,1.06991,0,0
0x2290d036bf0,248.452,1,3.58732e-43
0x2290d036bf4,1,3.58732e-43,0
0x2290d036c24,0,5.55818,88.8409
0x2290d036c28,5.55818,88.8409,10.8238
0x2290d036c2c,88.8409,10.8238,-16.4492
0x2290d036c30,10.8238,-16.4492,-0.177754
0x2290d036c34,-16.4492,-0.177754,-5.24961
0x2290d036c38,-0.177754,-5.24961,11.0037
0x2290d036c3c,-5.24961,11.0037,44.5093
0x2290d036c40,11.0037,44.5093,8.03671
0x2290d036c44,44.5093,8.03671,1.4013e-45
0x2290d03a7dc,7.33209,1.4013e-45,0
0x2290d03a81c,7.74918e-43,343.63,0
0x2290d03a820,343.63,0,144.14
0x2290d03a824,0,144.14,1.06975
0x2290d03a828,144.14,1.06975,1.06975
0x2290d03a830,1.06975,1.06975,-1.83697e-16
0x2290d03a86c,1.06975,1.06975,1.06975
0x2290d03a8ac,1,1.6291e-24,7.74918e-43
0x2290d03a924,1,1,1
0x2290d03a928,1,1,1
0x2290d03a92c,1,1,0
0x2290d03a930,1,0,0
0x2290d03a934,0,0,0
0x2290d03a938,0,0,1
0x2290d03a940,1,0,0
0x2290d03a954,0,-1.96509e-16,0
0x2290d03a958,-1.96509e-16,0,1.06975
0x2290d03a964,0,0,1.06975
0x2290d03a96c,1.06975,0,0
0x2290d03a97c,0,-1.96509e-16,0
0x2290d03a9c4,0,-134.742,0
0x2290d03a9c8,-134.742,0,321.226
0x2290d03a9d0,321.226,1,3.58732e-43
0x2290d03a9d4,1,3.58732e-43,0
0x2290d03aa04,0,6.76477,33.3914
0x2290d03aa08,6.76477,33.3914,12.9711
0x2290d03aa0c,33.3914,12.9711,-9.7074
0x2290d03aa10,12.9711,-9.7074,-0.143109
0x2290d03aa14,-9.7074,-0.143109,-4.48005
0x2290d03aa18,-0.143109,-4.48005,8.23609
0x2290d03aa1c,-4.48005,8.23609,16.7673
0x2290d03aa20,8.23609,16.7673,8.72557
0x2290d03aa24,16.7673,8.72557,1.4013e-45
0x2290d03aebc,7.33218,1.4013e-45,0
0x2290d03af10,1,1,1
0x2290d03af14,1,1,0
0x2290d03af3c,0,340.261,14.9552
0x2290d03af40,340.261,14.9552,144.102
0x2290d03af44,14.9552,144.102,1.07028
0x2290d03af4c,1.07028,1.07028,1.07028
0x2290d03af50,1.07028,1.07028,-0.00240395
0x2290d03b004,1,1,1
0x2290d03b008,1,1,1
0x2290d03b00c,1,1,0
0x2290d03b010,1,0,0
0x2290d03b014,0,0,0
0x2290d03b018,0,0,1
0x2290d03b020,1,0,0
0x2290d03b034,0,-0.00257291,0.00228757
0x2290d03b038,-0.00257291,0.00228757,1.07028
0x2290d03b044,0,0.000911582,1.07028
0x2290d03b048,0.000911582,1.07028,-0.00228551
0x2290d03b04c,1.07028,-0.00228551,0
0x2290d03b0a4,0,-133.904,-13.9564
0x2290d03b0b4,1,3.58732e-43,0
0x2290d03b0e8,3.47226,2.47593,3.1134
0x2290d03b0ec,2.47593,3.1134,-4.02492
0x2290d03b0f0,3.1134,-4.02492,-8.90744
0x2290d03b0f4,-4.02492,-8.90744,-8.12013
0x2290d03b0f8,-8.90744,-8.12013,3.74859
0x2290d03b0fc,-8.12013,3.74859,5.69169
